Open,High,Low,Close,Volume,isHigher
1159.0462646484375,1181.1890869140625,1152.391845703125,1176.8377685546875,805814272,False
1176.997314453125,1176.997314453125,1161.9149169921875,1164.6436767578125,72159232,False
1163.4722900390625,1174.89453125,1134.6683349609375,1134.6683349609375,0,False
1137.1644287109375,1164.34765625,1126.714599609375,1164.34765625,671436800,False
1164.4891357421875,1178.4931640625,1156.6060791015625,1174.96533203125,0,False
1174.2052001953125,1178.538330078125,1160.5255126953125,1176.117919921875,0,False
1176.076416015625,1206.8250732421875,1176.076416015625,1195.9151611328125,708935680,False
1196.517822265625,1217.0841064453125,1196.517822265625,1202.776611328125,0,False
1203.626953125,1225.2589111328125,1195.837890625,1223.031494140625,438423552,False
1222.5408935546875,1233.90625,1222.4993896484375,1229.8175048828125,0,False
1230.6314697265625,1242.0250244140625,1223.6812744140625,1226.626953125,0,False
